Count	Percent	Term
GO:0005575	912	46.530612244898	cellular_component
GO:0005576	24	1.22448979591837	extracellular region
GO:0005618	7	0.357142857142857	cell wall
GO:0005634	180	9.18367346938776	nucleus
GO:0005694	68	3.46938775510204	chromosome
GO:0005730	11	0.561224489795918	nucleolus
GO:0005739	43	2.19387755102041	mitochondrion
GO:0005773	23	1.1734693877551	vacuole
GO:0005777	6	0.306122448979592	peroxisome
GO:0005783	34	1.73469387755102	endoplasmic reticulum
GO:0005794	21	1.07142857142857	Golgi apparatus
GO:0005829	18	0.918367346938776	cytosol
GO:0005840	10	0.510204081632653	ribosome
GO:0005856	77	3.92857142857143	cytoskeleton
GO:0005886	59	3.01020408163265	plasma membrane
GO:0005938	18	0.918367346938776	cell cortex
GO:0012505	109	5.56122448979592	endomembrane system
GO:0015629	25	1.27551020408163	actin cytoskeleton
GO:0015630	42	2.14285714285714	microtubule cytoskeleton
GO:0016020	208	10.6122448979592	membrane
GO:0016023	57	2.90816326530612	cytoplasmic membrane-bounded vesicl...
GO:0030427	8	0.408163265306122	site of polarized growth
