Day	Rep	Filt	mPmTG	Standard
1	MAU99.1	0.033	0.086	0.316
1	MAU99.2	0.024	0.086	0.190
1	MAU99.3	0.014	0.081	0.235
1	AH109.1	0.004	0.082	0.402
1	AH109.2	-0.007	0.090	0.399
1	AH109.3	0.003	0.074	0.439	
1	DH5a.1	0.004	0.072	0.174
1	DH5a.2	0.005	0.059	0.167
1	DH5a.3	0.010	0.066	0.147
2	MAU99.1	0.084	0.097	0.224
2	MAU99.2	0.068	0.112	0.158
2	MAU99.3	0.055	0.101	0.188
2	AH109.1	0.008	0.106	0.600
2	AH109.2	0.006	0.107	0.580
2	AH109.3	0.010	0.104	0.582
2	DH5a.1	0.028	0.054	0.165
2	DH5a.2	0.025	0.068	0.177
2	DH5a.3	0.036	0.074	0.182
3	MAU99.1	0.067	0.106	0.324
3	MAU99.2	0.064	0.117	0.283
3	MAU99.3	0.047	0.114	0.253
3	AH109.1	-0.006	0.130	0.603
3	AH109.2	-0.006	0.128	0.610
3	AH109.3	-0.004	0.111	0.591
3	DH5a.1	0.021	0.080	0.265
3	DH5a.2	0.034	0.052	0.230
3	DH5a.3	0.034	0.072	0.215
