Org	WC1	WC2	CRY	BR	PHY	GA	GB	GG	PDEA	PDEB	PDEG	RGS
Rall	0	0	0	0	0	1	1	1	1	1	0	1
Gpro	1	1	0	1	1	1	1	0	1	1	0	0
PirE	0	0	1	0	0	1	1	1	1	1	0	0
OrpC	0	0	0	0	0	1	1	1	1	1	0	0
Hpol	1	0	1	0	0	1	1	1	1	1	0	0
Spun	1	1	1	0	1	1	1	1	1	1	0	1
Bden	0	0	0	0	0	1	1	1	1	1	0	1
Amac	1	0	0	0	0	1	1	1	1	1	1	0
Cang	1	1	0	0	0	1	1	1	1	1	1	0
Clat	1	0	0	1	0	1	1	0	1	1	1	0
Ccor	1	1	0	0	0	1	1	1	1	1	1	0
Crev	0	0	0	0	0	1	1	1	1	1	0	0
Pbla	1	1	1	0	0	1	1	1	1	1	0	1
Rory	1	1	0	0	0	1	1	1	1	1	0	1
Pgra	1	1	0	0	1	1	1	1	1	1	0	1
Umay	1	1	0	1	1	1	1	1	1	0	0	1
Ccin	1	0	0	0	0	1	1	1	1	1	0	1
Spom	0	0	1	1	0	1	1	0	0	1	0	1
Scer	0	0	0	1	0	1	1	1	1	1	1	0
Ncra	1	1	1	1	1	1	1	1	1	1	0	1
